ITEM,ZONE_ID,SELLING_RETAIL,SIMPLE_PROMO_RETAIL,P1_COMP1_DISPLAY_ID,P1_COMP2_DISPLAY_ID,P2_COMP1_DISPLAY_ID,P2_COMP2_DISPLAY_ID
059858352,5,7,7,,,,
059979018,5,10,10,,,,
060245805,5,7,7,,,,
060454189,5,1,1,,,,
060478076,5,10,10,,,,
066435636,5,10,10,,,,
060852841,5,5,5,,,,
060852841-001,5,5,5,,,,
061152487,5,7,7,,,,
061196509,5,8,8,,,,
061197176,5,10,10,,,,
061197756,5,10,10,,,,
061294900,5,8,8,,,,
061715156,5,15,15,,,,
062590513,5,7,7,,,,
064404168,5,5,5,,,,
064783490,5,20,20,,,,
064783720,5,10,10,,,,
064832526,5,15,15,,,,
066435617,5,15,15,,,,
066437644,5,10,10,,,,
066772309,5,7,7,,,,
066772309-001,5,8,8,,,,
067339534,5,8,8,,,,
067339534-001,5,7,7,,,,
067339747,5,5,5,,,,
067339747-001,5,7,7,,,,
067339766-001,5,7,7,,,,
067946823,5,3,3,,,,
068241808,5,25,25,,,,
067620189,5,10,10,,,,
064404168-001,5,5,5,,,,
071917714,5,5,5,30567525,,,
071901180,5,5,5,,,,
071834414,5,10,10,,,,
065824781,5,5,5,,,,
064232964,5,5,5,,,,
072351684,5,10,10,,,,
051845541-002,5,5,5,,,,
064232970,5,5,5,,,,
064783927,5,10,10,,,,
064783530,5,10,10,,,,
050304982-001,5,3,3,,,,
051337647-001,5,10,10,,,,
072776607,5,3,3,,,,
051326292-002,5,5,5,,,,
051234112-002,5,4,4,,,,
061634136-001,5,8,8,,,,
061634136,5,8,8,,,,
068240251,5,20,20,,,,
066535009,5,4,4,,,,
050814706,5,3,3,,,,
050814706-002,5,3,3,,,,
051192391,5,3,3,,,,
055475494,5,2,2,,,,
055821958,5,10,10,,,,
057802258-001,5,5,5,,,,
058002480,5,3,3,,,,
058002480-001,5,3,3,,,,
058653561,5,3,3,,,,
058653561-001,5,3,3,,,,
058653590,5,5,5,,,,
058653590-001,5,5,5,,,,
058653624,5,3,3,,,,
058653624-001,5,3,3,,,,
058653630-001,5,4,4,,,,
058653647-001,5,3,3,,,,
058653647-004,5,3,3,,,,
058731025,5,3,3,,,,
058977765,5,4,4,,,,
058977794,5,2,2,,,,
059689079,5,4,4,,,,
059756449,5,10,10,,,,
060488258,5,2,2,,,,
060758607,5,4,4,,,,
061237176,5,3,3,,,,
063097900,5,4,4,,,,
063191696,5,2,2,,,,
064237792,5,5,5,,,,
064406569,5,7,7,,,,
064406569-001,5,8,8,,,,
064406569-002,5,7,7,,,,
064607631,5,5,5,,,,
064607648,5,10,10,,,,
065129521,5,3,3,,,,
066577345,5,2,2,,,,
067097596,5,3,3,,,,
067097596-001,5,3,3,,,,
067097596-002,5,3,3,,,,
067825137,5,3,3,,,,
068146478,5,8,8,,,,
074014827,5,0,0,,,,
060194559-001,5,3,3,,,,
068170385-001,5,10,10,,,,
074057908,5,5,5,,,,
073341199,5,3,3,,,,
064226799,5,3,3,,,,
068170229,5,10,10,,,,
066535009-001,5,4,4,,,,
050037128-001,5,1,1,,,,
071902173,5,5,5,,,,
068170212,5,10,10,,,,
068170120,5,10,10,,,,
068170310-001,5,10,10,,,,
060280365,5,10,10,,,,
068170310,5,10,10,,,,
064438646,5,2,2,,,,
051602852,5,4,4,,,,
051602852-002,5,4,4,,,,
072485796,5,5,5,,,,
072693457,5,3,3,,,,
072693474,5,3,3,,,,
072693532,5,3,3,,,,
072693590,5,3,3,,,,
072693618,5,3,3,,,,
072693647,5,3,3,,,,
072693704,5,3,3,,,,
072693745,5,3,3,,,,
061656323,5,2,2,,,,
072761256,5,5,5,,,,
072778761,5,5,5,,,,
058653647,5,3,3,,,,
073326327,5,3,3,,,,
073341504,5,3,3,,,,
073341441,5,3,3,,,,
073326362,5,3,3,,,,
050361757,5,7,7,,,,
050362589,5,5,5,,,,
050393402,5,7,7,,,,
050393483,5,8,8,,,,
050581871,5,10,10,,,,
050583707,5,6,6,,,,
050585020,5,3,3,,,,
050585481,5,10,10,,,,
050585861,5,10,10,,,,
050585890,5,5,5,,,,
050588253,5,15,15,,,,
050588276,5,8,8,,,,
050588282,5,7,7,,,,
050588368,5,15,15,,,,
050694490,5,10,10,,,,
050694518,5,35,35,,,,
050694962,5,5,5,,,,
050696931,5,3,3,,,,
050697089,5,1,1,,,,
050697573,5,3,3,,,,
050774608,5,10,10,,,,
050811404,5,10,10,,,,
050812772,5,13,13,,,,
050813045,5,5,5,,,,
050813310,5,20,20,,,,
050813356,5,15,15,,,,
050813523,5,10,10,,,,
051008398,5,2,2,,,,
051321821,5,10,10,,,,
051393118,5,10,10,,,,
051393124,5,10,10,,,,
051739137,5,4,4,,,,
051914978,5,10,10,,,,
051924586,5,15,15,,,,
052007213,5,15,15,,,,
052268393,5,10,10,,,,
052502828,5,5,5,,,,
052835223,5,25,25,,,,
053478056,5,13,13,,,,
055475465,5,15,15,,,,
055528202,5,1,1,,,,
055530818,5,13,13,,,,
055742374,5,2,2,,,,
055743428,5,4,4,,,,
055820118,5,5,5,,,,
056080066,5,5,5,,,,
056080066-001,5,8,8,,,,
056182090,5,15,15,,,,
056513356,5,5,5,,,,
056514096,5,4,4,,,,
056514128,5,6,6,,,,
056514278,5,5,5,,,,
056515438,5,5,5,,,,
056515438-001,5,5,5,,,,
056516128,5,3,3,,,,
056590499,5,20,20,,,,
056763059,5,4,4,,,,
056872120,5,20,20,,,,
056872212,5,2,2,,,,
057329285,5,20,20,,,,
057329377,5,4,4,,,,
057512632,5,5,5,,,,
057632910,5,6,6,,,,
057632927,5,10,10,,,,
058053499,5,5,5,,,,
058053522,5,5,5,,,,
058053539,5,5,5,,,,
058053568,5,13,13,,,,
058230013,5,2,2,,,,
058230111,5,3,3,,,,
058230157,5,8,8,,,,
058333485,5,8,8,,,,
058333554,5,8,8,,,,
058333773,5,10,10,,,,
058492854,5,6,6,,,,
058665420,5,8,8,,,,
062483871,5,4,4,,,,
062483940,5,6,6,,,,
062483963,5,20,20,,,,
062522584,5,15,15,,,,
062522590,5,20,20,,,,
062522601,5,3,3,,,,
062708286,5,3,3,,,,
062708307,5,5,5,,,,
063642666,5,3,3,,,,
063642699,5,1,1,,,,
065645105,5,25,25,,,,
065645128,5,10,10,,,,
065645163,5,3,3,,,,
065672101,5,13,13,,,,
065672245,5,30,30,,,,
065844706,5,20,20,,,,
065844768,5,10,10,,,,
065845312,5,3,3,,,,
065845393,5,8,8,,,,
065853757,5,8,8,,,,
065853763,5,8,8,,,,
065854474,5,13,13,,,,
065854629,5,10,10,,,,
065855093,5,3,3,,,,
065855093-001,5,6,6,,,,
065995911,5,7,7,,,,
065996000,5,5,5,,,,
065997886,5,10,10,,,,
066015926,5,8,8,,,,
066899799,5,8,8,,,,
066903726,5,15,15,,,,
066904005,5,25,25,,,,
066905724,5,13,13,,,,
066906314,5,15,15,,,,
066906926,5,15,15,,,,
066907476,5,20,20,,,,
066910809,5,20,20,,,,
066911780,5,20,20,,,,
066989556,5,3,3,,,,
066996690,5,20,20,,,,
067010266,5,15,15,,,,
067010358,5,30,30,,,,
067010387,5,20,20,,,,
067039722,5,20,20,,,,
067388573,5,3,3,,,,
067389036,5,15,15,,,,
067389059,5,15,15,,,,
067393111,5,40,40,,,,
067393520,5,80,80,,,,
067393670,5,25,25,,,,
067399208,5,10,10,,,,
067399237,5,10,10,,,,
067399295,5,4,4,,,,
067399306,5,8,8,,,,
067432475,5,5,5,,,,
067470246,5,3,3,,,,
067470423,5,3,3,,,,
067644322,5,7,7,,,,
067644869,5,10,10,,,,
067644938,5,13,13,,,,
067647601,5,20,20,,,,
067650395,5,25,25,,,,
067650769,5,25,25,,,,
067650844,5,40,40,,,,
067651002,5,40,40,,,,
067651054,5,5,5,,,,
067651624,5,15,15,,,,
067652122,5,20,20,,,,
067653518,5,13,13,,,,
067688667,5,3,3,,,,
067755058,5,6,6,,,,
067755225,5,8,8,,,,
067755761,5,20,20,,,,
067755801,5,20,20,,,,
067755899,5,20,20,,,,
067756086,5,15,15,,,,
071496824,5,13,13,,,,
070794934,5,7,7,,,,
070796258,5,20,20,,,,
070813769,5,5,5,,,,
070814716,5,15,15,,,,
070988481,5,10,10,,,,
070990644,5,5,5,,,,
071046949,5,20,20,,,,
071000670,5,15,15,,,,
071000831,5,15,15,,,,
068106666,5,15,15,,,,
068107560,5,5,5,,,,
068102421,5,10,10,,,,
068102513,5,10,10,,,,
068102542,5,15,15,,,,
068102686,5,15,15,,,,
068102778,5,20,20,,,,
068102801,5,20,20,,,,
068106993,5,5,5,,,,
068078702,5,20,20,,,,
071000572,5,25,25,,,,
070998768,5,5,5,,,,
070999715,5,6,6,,,,
071000226,5,10,10,,,,
071000422,5,45,45,,,,
071000635,5,25,25,,,,
071000900,5,20,20,,,,
071042245,5,15,15,,,,
071000157,5,10,10,,,,
070819037,5,20,20,,,,
071021748,5,15,15,,,,
071021823,5,15,15,,,,
050361757-001,5,5,5,,,,
070988814,5,3,3,,,,
070989013,5,5,5,,,,
070989140,5,10,10,,,,
070990667,5,20,20,,,,
070990724,5,25,25,,,,
070989261,5,10,10,,,,
070765042,5,50,50,,,,
068107577,5,7,7,,,,
068107583,5,7,7,,,,
068107617,5,10,10,,,,
068107721,5,15,15,,,,
068102438,5,10,10,,,,
068102536,5,15,15,,,,
068107652,5,12,12,,,,
068107796,5,15,15,,,,
068107807,5,15,15,,,,
068107826,5,20,20,,,,
068107894,5,20,20,,,,
071094678,5,15,15,,,,
071095014,5,50,50,,,,
068127720,5,5,5,,,,
070762961,5,1,1,,,,
070798446,5,15,15,,,,
070798481,5,15,15,,,,
070813337,5,25,25,,,,
068107911,5,25,25,,,,
071001104,5,20,20,,,,
070811604,5,20,20,,,,
070805883,5,20,20,,,,
070805848,5,20,20,,,,
070813395,5,100,100,,,,
070813372,5,30,30,,,,
070813314,5,25,25,,,,
070795582,5,25,25,,,,
070795697,5,4,4,,,,
071496030,5,7,7,,,,
071496180,5,10,10,,,,
071444242,5,5,5,,,,
070989883,5,12,12,,,,
068107583-001,5,5,5,,,,
070990621,5,20,20,,,,
068107859,5,25,25,,,,
068106964,5,10,10,,,,
071094730,5,20,20,,,,
071000404-001,5,15,15,,,,
070795357-001,5,25,25,,,,
070763787,5,5,5,,,,
070798481-001,5,10,10,,,,
070811604-001,5,25,25,,,,
071000364,5,15,15,,,,
071000404,5,15,15,,,,
071000007,5,5,5,,,,
070813994,5,15,15,,,,
070763044,5,2,2,,,,
070990569,5,12,12,,,,
070998152,5,10,10,,,,
054552258,5,2,2,,,,
060488333,5,3,3,,,,
050394787,5,1,1,,,,
050413708,5,1,1,,,,
052477744,5,0,0,,,,
052478228,5,2,2,,,,
052478887,5,4,4,,,,
056872333,5,2,2,,,,
059368442,5,1,1,,,,
062981673,5,0,0,,,,
062981876,5,2,2,,,,
063002841,5,4,4,,,,
063004516,5,1,1,,,,
063004545,5,3,3,,,,
063004656,5,3,3,,,,
063004758,5,1,1,,,,
066349178,5,0,0,,,,
066350550,5,0,0,,,,
066351670,5,0,0,,,,
066709041,5,0,0,,,,
066729218,5,0,0,,,,
066729535,5,0,0,,,,
068137437,5,4,4,,,,
066728526,5,5,5,,,,
068107773,5,5,5,,,,
068106198,5,4,4,,,,
068107548,5,5,5,,,,
068107738,5,2,2,,,,
068105994,5,3,3,,,,
072359480,5,2,2,,,,
072359301,5,3,3,,,,
072359733,5,2,2,,,,
072359214,5,5,5,,,,
072357712,5,3,3,,,,
072357804,5,5,5,,,,
072358170,5,2,2,,,,
072359554,5,4,4,,,,
072359612,5,4,4,,,,
072359635,5,3,3,,,,
064785021,5,5,5,,,,
064785846,5,10,10,,,,
070884851,5,15,15,,,,
051234135,5,1,1,,,,
051376709-001,5,3,3,,,,
060149276,5,5,5,,,,
065724336,5,2,2,,,,
064637819,5,4,4,30502025,,,
051536538-003,5,4,4,30502025,,,
051536538-001,5,4,4,,,,
050874006,5,2,2,30501965,,,
050874006-004,5,3,3,,,,
071914769,5,3,3,,,,
051234135-001,5,1,1,,,,
063533903,5,4,4,,,,
063884199,5,5,5,,,,
051401738-001,5,3,3,30609425,,,
074069554,5,5,5,,,,
065318447-001,5,3,3,,,,
050875253-002,5,3,3,,,,
050875253,5,3,3,,,,
050875253-003,5,3,3,,,,
050875253-001,5,3,3,,,,
051401738,5,3,3,,,,
059955818-001,5,3,3,30609425,,,
059955818-002,5,3,3,,,,
051865972-003,5,3,3,,,,
051234164-007,5,3,3,,,,
051234164-002,5,3,3,,,,
051234164-001,5,3,3,,,,
051865972-001,5,3,3,,,,
051865972,5,3,3,,,,
051234164,5,3,3,,,,
059725187,5,5,5,,,,
060488068,5,10,10,,,,
065266409,5,5,5,,,,
065676805,5,8,8,,,,
065870926,5,3,3,,,,
065976462,5,3,3,,,,
065976554,5,5,5,,,,
066905616,5,25,25,,,,
066977471,5,7,7,,,,
067318899,5,20,20,,,,
067387948,5,4,4,,,,
067642566,5,7,7,,,,
067647549,5,10,10,,,,
067647814,5,20,20,,,,
067653910,5,15,15,,,,
067654097,5,10,10,,,,
067754353,5,6,6,,,,
067754756,5,13,13,,,,
067759889,5,7,7,,,,
068137662,5,10,10,,,,
068137685,5,2,2,,,,
058024488,5,5,5,,,,
058722353,5,5,5,,,,
058818367,5,4,4,,,,
051192402,5,4,4,,,,
051724483,5,8,8,,,,
053480824,5,5,5,,,,
053632784,5,12,12,,,,
058019798,5,5,5,,,,
058021748,5,6,6,,,,
070945169,5,5,5,,,,
071121699,5,25,25,,,,
068127962,5,10,10,,,,
068141512,5,20,20,,,,
068141466,5,5,5,,,,
068127946,5,10,10,,,,
071207011,5,7,7,,,,
070860499,5,15,15,,,,
070860931,5,20,20,,,,
070860793,5,20,20,,,,
070855724,5,5,5,,,,
068141472,5,7,7,,,,
071121503,5,15,15,,,,
068141506,5,15,15,,,,
068128006,5,20,20,,,,
070860983,5,80,80,,,,
070855707,5,4,4,,,,
070855684,5,4,4,,,,
071506734,5,5,5,,,,
071339148,5,10,10,,,,
071495854,5,7,7,,,,
071495958,5,15,15,,,,
071506659,5,10,10,,,,
070860960,5,25,25,,,,
071120896,5,10,10,,,,
071444173,5,5,5,,,,
072968945,5,10,10,,,,
072969005,5,5,5,,,,
071120781,5,4,4,,,,
050953201-002,5,4,4,,,,
068085666,5,5,5,,,,
050863209,5,4,4,,,,
050863209-007,5,4,4,,,,
050863209-005,5,4,4,,,,
050863209-003,5,4,4,,,,
074069572,5,4,4,,,,
050863209-008,5,4,4,30539837,,,
051483041,5,5,5,30609605,,,
052523022-001,5,4,4,,,,
052523022,5,3,3,,,,
050863209-006,5,4,4,,,,
050953201,5,5,5,,,,
051483041-002,5,5,5,,,,
051483041-003,5,5,5,,,,
054205822-003,5,15,15,,,,
054205822-001,5,15,15,,,,
054205822,5,15,15,,,,
052757148,5,10,10,,,,
052757148-001,5,10,10,,,,
057253667,5,10,10,,,,
054900918,5,10,10,,,,
057253667-001,5,10,10,,,,
064232987,5,10,10,,,,
064232987-001,5,15,15,,,,
064832369,5,15,15,,,,
064833011,5,15,15,,,,
066040865,5,15,15,,,,
051307856-001,5,10,10,,,,
051307856,5,10,10,,,,
060454120,5,15,15,,,,
060454120-001,5,15,15,,,,
061661126,5,8,8,,,,
061661126-001,5,8,8,,,,
065095866,5,5,5,,,,
074069520,5,7,7,,,,
074069474,5,7,7,,,,
050991420-007,5,4,4,,,,
050991420-008,5,4,4,,,,
050991420-006,5,4,4,,,,
060731266-001,5,2,2,,,,
060731266-002,5,2,2,,,,
062335949,5,10,10,,,,
072619109,5,5,5,,,,
050991420-010,5,5,5,,,,
064637946-002,5,5,5,,,,
056025594-004,5,5,5,,,,
052835269-002,5,3,3,,,,
052835269,5,3,3,,,,
071903195,5,5,5,,,,
052134868-001,5,3,3,,,,
052134868-002,5,3,3,,,,
056025594,5,5,5,,,,
065132637-001,5,4,4,,,,
065132637-002,5,5,5,,,,
050991420-004,5,5,5,,,,
050991420,5,4,4,,,,
051524541-001,5,3,3,,,,
051524541-003,5,3,3,,,,
060149303,5,7,7,,,,
061013762,5,5,5,,,,
067947236,5,3,3,,,,
050875247-001,5,3,3,,,,
050875247-003,5,3,3,,,,
050875247-002,5,3,3,,,,
050923865-002,5,3,3,,,,
073022940,5,10,10,30556986,,,
073022986,5,10,10,30556986,,,
072933998,5,3,3,30556986,,,
068122996,5,5,5,,,,
068137587,5,10,10,,,,
070987960,5,3,3,,,,
068121657,5,3,3,,,,
072656243,5,10,10,,,,
073367998,5,5,5,,,,
064908010-004,5,5,5,,,,
064908315-003,5,5,5,,,,
064908373-002,5,5,5,,,,
064908373-003,5,5,5,,,,
064908373-004,5,5,5,,,,
064908373-005,5,5,5,,,,
064908373-006,5,6,6,,,,
064908471-001,5,4,4,,,,
064908471-004,5,5,5,,,,
064908563-001,5,4,4,,,,
064908563-002,5,5,5,,,,
064908563-004,5,5,5,,,,
064909936-002,5,5,5,,,,
064909936-003,5,6,6,,,,
064909936-005,5,6,6,,,,
064909936-006,5,6,6,,,,
064910070-002,5,5,5,,,,
064910110-002,5,6,6,,,,
064910352-002,5,5,5,,,,
064918637-001,5,6,6,,,,
064918833-001,5,6,6,,,,
064922142-001,5,2,2,,,,
064922770-001,5,4,4,,,,
064922770-002,5,5,5,,,,
064922891-001,5,4,4,,,,
064922891-005,5,6,6,,,,
064923521-001,5,4,4,,,,
064923521-004,5,5,5,,,,
064923521-005,5,6,6,,,,
064923550-001,5,4,4,,,,
064923550-002,5,5,5,,,,
064923550-005,5,6,6,,,,
064923728-004,5,5,5,,,,
065674479,5,3,3,,,,
066284553-001,5,6,6,,,,
066635035-001,5,5,5,,,,
066635035-002,5,5,5,,,,
066636126,5,1,1,,,,
066636161,5,1,1,,,,
064923550-006,5,6,6,,,,
064923728-006,5,6,6,,,,
064908471-007,5,6,6,,,,
064908010-007,5,6,6,,,,
071105615,5,3,3,,,,
071105644,5,5,5,,,,
064909936-007,5,6,6,,,,
064910352-007,5,6,6,,,,
064910070-007,5,6,6,,,,
064922891-006,5,6,6,,,,
066635035-005,5,6,6,,,,
071104944,5,3,3,,,,
071104835,5,7,7,,,,
066284674,5,7,7,,,,
064909546,5,7,7,,,,
064909625,5,7,7,,,,
064910296,5,3,3,,,,
066285293,5,3,3,,,,
064918954,5,3,3,,,,
066284386,5,3,3,,,,
064909406,5,14,14,,,,
064910277,5,13,13,,,,
066749592,5,12,12,,,,
067381275,5,5,5,,,,
064910110,5,7,7,,,,
064920186,5,4,4,,,,
064918856,5,7,7,,,,
064918833,5,7,7,,,,
064918637,5,7,7,,,,
064921097,5,7,7,,,,
064907875,5,4,4,,,,
064902156,5,7,7,,,,
066285074,5,7,7,,,,
064919966,5,3,3,,,,
064918516,5,7,7,,,,
064907754,5,7,7,,,,
064902961,5,7,7,,,,
064907973,5,7,7,,,,
064920795,5,7,7,,,,
064922142,5,3,3,,,,
064910127,5,13,13,,,,
064917686,5,11,11,,,,
064921385,5,4,4,,,,
064921310,5,4,4,,,,
064909222,5,14,14,,,,
064908315,5,6,6,,,,
064910486,5,6,6,,,,
064918073,5,6,6,,,,
064918159,5,6,6,,,,
064908989,5,4,4,,,,
064919786,5,7,7,,,,
064919256,5,4,4,,,,
066284259,5,4,4,,,,
064918453,5,4,4,,,,
064909274,5,7,7,,,,
064909216,5,7,7,,,,
064920271,5,7,7,,,,
066284835,5,7,7,,,,
064920910,5,7,7,,,,
064902051,5,7,7,,,,
064902310,5,6,6,,,,
064902172,5,6,6,,,,
064909297,5,4,4,,,,
064910219,5,7,7,,,,
064922891,5,6,6,,,,
064922770,5,6,6,,,,
064922113,5,3,3,,,,
064918194,5,6,6,,,,
064918009,5,6,6,,,,
067538287,5,6,6,,,,
064910352,5,7,7,,,,
064919360,5,7,7,,,,
064909631,5,4,4,,,,
064921926,5,6,6,,,,
064908200,5,3,3,,,,
066749298,5,3,3,,,,
066749603,5,3,3,,,,
066749776,5,3,3,,,,
066635035,5,6,6,,,,
064912782,5,4,4,,,,
064912004,5,8,8,,,,
064912465,5,9,9,,,,
064912684,5,4,4,,,,
064914181-001,5,2,2,,,,
064914405-001,5,3,3,,,,
064914405-003,5,4,4,,,,
064914405-005,5,3,3,,,,
064914590,5,4,4,,,,
064916046-001,5,3,3,,,,
064916046-002,5,3,3,,,,
064916046-003,5,3,3,,,,
064916046-005,5,3,3,,,,
064916046-006,5,3,3,,,,
064916196,5,6,6,,,,
064916196-001,5,5,5,,,,
064916196-002,5,6,6,,,,
064916196-003,5,6,6,,,,
064916196-004,5,6,6,,,,
064916196-006,5,7,7,,,,
065897722-002,5,3,3,,,,
065897722-004,5,3,3,,,,
065897722-005,5,3,3,,,,
065897837-002,5,6,6,,,,
065897837-003,5,6,6,,,,
065897837-005,5,6,6,,,,
064914405-006,5,4,4,,,,
065897837,5,7,7,,,,
065897722,5,3,3,,,,
064914060,5,6,6,,,,
064914411,5,7,7,,,,
064914394,5,14,14,,,,
064915681,5,7,7,,,,
064916046,5,4,4,,,,
064914031,5,16,16,,,,
064910790,5,1,1,,,,
064910830,5,1,1,,,,
064910997,5,1,1,,,,
064911086,5,0,0,,,,
064911126,5,1,1,,,,
064911161,5,0,0,,,,
066743523,5,1,1,,,,
071104576,5,1,1,,,,
050244983,5,5,5,,,,
050234056,5,10,10,,,,
050233719,5,11,11,,,,
057298896,5,8,8,,,,
067340088,5,6,6,,,,
067340059,5,6,6,,,,
050234062,5,12,10,30573286,,,
050375499,5,7,7,,,,
050305791,5,7,7,,,,
072679786,5,18,16,30548746,,,
072645964,5,10,6,30569366,,,
072646024,5,10,6,30569366,,,
050495420,5,4,4,,,,
052574479,5,10,10,,,,
054076121,5,5,5,,,,
054457356,5,4,4,,,,
055252591,5,13,13,,,,
055252602,5,11,11,,,,
057979845,5,7,7,,,,
058672238,5,2,2,,,,
062528779,5,4,4,,,,
066446322,5,9,9,,,,
066471907,5,12,12,,,,
061379294,5,10,10,,,,
050233760,5,10,10,,,,
050430601,5,2,2,,,,
050234494,5,5,5,,,,
051497192,5,5,5,,,,
064526922,5,6,6,,,,
064527719,5,6,6,,,,
059758741,5,2,2,,,,
051842953,5,5,5,,,,
051007382,5,7,7,,,,
051007353,5,7,7,,,,
059737334,5,4,4,,,,
050234321,5,5,5,,,,
050235084,5,5,5,,,,
050234344,5,5,5,,,,
051595542,5,4,4,,,,
061123787,5,16,12,30549345,,,
050691493,5,16,16,,,,
052428538,5,8,8,,,,
050340385,5,15,11,30593465,,,
061121069,5,14,14,,,,
051702175,5,14,14,,,,
052468283,5,12,12,,,,
066491054,5,22,20,30573225,,,
063850464,5,8,8,,,,
051237230,5,14,11,30563745,,,
067771960,5,15,7,30563925,,,
050288936,5,7,7,,,,
050557532,5,6,6,,,,
053035045,5,12,12,,,,
053035045-001,5,12,12,,,,
053062070,5,9,9,,,,
059738538,5,2,2,,,,
059739468,5,97,97,,,,
062726683,5,4,4,,,,
062727895,5,6,6,,,,
063851814,5,6,6,,,,
064527627,5,4,4,,,,
066791344,5,7,7,,,,
067585230,5,7,7,,,,
050234822,5,10,10,,,,
054323221,5,13,13,,,,
050282793,5,7,7,,,,
064593069,5,21,21,,,,
051477613,5,10,10,,,,
064527489,5,14,14,,,,
051785438,5,5,5,,,,
054459020,5,12,12,,,,
057770248,5,12,12,,,,
054458977,5,12,12,,,,
059817228,5,4,4,,,,
051595513,5,4,4,,,,
051777500,5,5,5,,,,
051785191,5,5,5,,,,
050235654,5,2,2,,,,
050235631,5,1,1,,,,
050235556,5,3,3,,,,
066471320-002,5,5,5,,,,
064262070,5,5,5,,,,
070800681,5,6,6,,,,
072776233,5,7,7,,,,
066471320,5,5,5,,,,
064527161,5,3,3,,,,
073135184,5,7,7,,,,
050235026,5,6,6,,,,
072618174,5,4,4,,,,
072618214,5,4,4,,,,
056793378-001,5,5,5,,,,
065558636-001,5,10,10,,,,
057607138-001,5,5,5,,,,
071466210,5,3,3,,,,
058495148-001,5,3,3,,,,
057607138,5,6,6,,,,
073446611,5,3,3,,,,
065557780,5,4,4,,,,
071528264,5,4,4,,,,
072066929,5,3,3,,,,
058515308,5,0,0,,,,
063001709,5,0,0,,,,
063794651,5,0,0,,,,
064057706-001,5,5,5,,,,
064421504,5,6,6,,,,
066272089,5,0,0,,,,
066324904,5,0,0,,,,
064421585,5,0,0,,,,
064421546,5,6,6,,,,
064421546-001,5,5,5,,,,
064421562,5,5,5,,,,
064422722,5,5,5,,,,
073175188,5,3,3,,,,
074200664,5,3,3,,,,
064519643,5,2,2,,,,
067048890,5,3,3,,,,
056375582,5,2,2,,,,
067110390,5,4,4,,,,
067401564,5,2,2,,,,
056375582-001,5,2,2,,,,
072067145,5,3,3,,,,
057993983,5,3,3,,,,
066743546,5,2,2,,,,
071465954,5,2,2,,,,
070500419,5,4,4,,,,
071616172,5,3,3,,,,
071466008,5,5,5,,,,
073424879,5,2,2,,,,
072183560,5,4,4,,,,
059989179,5,6,6,,,,
065567923,5,3,3,,,,
067983588,5,3,3,,,,
058517738,5,5,5,,,,
058518708,5,3,3,,,,
063704686,5,3,3,,,,
050826871,5,1,1,,,,
070511003,5,3,3,,,,
070510989,5,3,3,,,,
070510540,5,3,3,,,,
071227194,5,4,4,,,,
061632490,5,3,3,,,,
064753318,5,2,2,,,,
066902439,5,2,2,,,,
067148178,5,3,3,,,,
067605087,5,2,2,,,,
067606190,5,2,2,,,,
071227085,5,2,2,,,,
071227160,5,2,2,,,,
068000524,5,1,1,,,,
070816858,5,2,2,,,,
