"ITEM","PROMO_ZONE_ID","SIMPLE_PROMO_RETAIL"
"066153046",5,1.35
"066153046",7,1.35
"066153046",6,1.35
"066153046",9,1.35
"072335502",7,23.40
"072335502",9,23.40
"072335502",6,23.40
"072335502",5,23.40
"073490344",6,26.10
"073490344",7,26.10
"073490344",5,26.10
"073490344",9,26.10
"059388775",7,34.65
"059388775",6,34.65
"059388775",5,34.65
"059388775",9,34.65
"064833345",5,1.35
"064833345",7,1.35
"064833345",6,1.35
"064833345",9,1.35
"059389169",7,16.25
"059389169",9,16.25
"059389169",6,16.25
"059389169",5,16.25
"062186917",7,31.50
"062186917",6,31.50
"062186917",5,31.50
"065632116",7,28.50
"065632116",6,28.50
"065632116",5,28.50
"065632116",9,28.50
"070153524",5,19.80
"070153524",7,19.80
"070153524",6,19.80
"070153524",9,19.80
"072335548",7,32.25
"072335548",6,32.25
"072335548",5,32.25
"072335548",9,32.25
"053684917",7,21.60
"060859851",5,28.50
"060859851",7,28.50
"060859851",6,28.50
"060859851",9,28.50
"062917250",7,18.30
"062917250",6,18.30
"062917250",5,18.30
"062917250",9,18.30
"066153720",6,1.40
"066153720",7,1.40
"066153720",9,1.40
"066153720",5,1.40
"053684917",6,21.60
"053684917",5,21.60
"053684917",9,21.60
"053690230",7,22.50
"053690230",6,22.50
"053690230",5,22.50
"053690230",9,22.50
"073807703",7,3.15
"073807334",6,2.50
"073807334",9,2.50
"073807703",6,3.00
"068225402",5,2.85
"068225402",7,2.99
"068225402",6,2.85
"073807703",5,3.00
"073807375",9,2.50
"073807375",6,2.50
"073807375",7,2.63
"073807686",9,2.85
"073807686",7,2.99
"073807703",9,3.00
"068225402",9,2.85
"073807375",5,2.50
"073807686",6,2.85
"073807686",5,2.85
"073807334",7,2.63
"073807334",5,2.50
"071616039",7,2.50
"071616039",9,2.50
"071616039",15,2.50
"071631683",6,2.50
"071631683",7,2.50
"071631683",9,2.50
"071650274",15,2.50
"071631683",15,2.50
"071650239",6,2.50
"071650239",7,2.50
"071650239",9,2.50
"071650239",15,2.50
"071650251",6,2.50
"071650251",7,2.50
"071650251",9,2.50
"071650251",15,2.50
"071650274",6,2.50
"071650274",7,2.50
"071650274",9,2.50
"066605267",9,2.50
"066605267",15,2.50
"066605463",6,2.50
"066605492",6,2.50
"066605492",7,2.63
"066605492",9,2.50
"066605516",6,2.50
"066605516",7,2.63
"066605516",9,2.50
"066605516",15,2.50
"066605532",6,2.50
"066605532",7,2.63
"067563129",6,2.50
"071616039",6,2.50
"066604942",5,2.50
"066605492",5,2.50
"066605532",5,2.50
"067563129",5,2.50
"071616039",5,2.50
"071631683",5,2.50
"071650274",5,2.50
"066604631",7,2.50
"066604631",9,2.50
"066604926",6,2.50
"066604926",7,2.63
"066604942",6,2.50
"066604942",7,2.63
"066604942",15,2.50
"066605267",6,2.50
"066604631",8,2.50
"066604926",8,2.50
"066604942",8,2.50
"066605463",8,2.50
"066605492",8,2.50
"066605516",8,2.50
"066605532",8,2.50
"067563129",8,2.50
"071631683",8,2.50
"071650239",8,2.50
"071650274",8,2.50
"071650222",5,2.50
"071667047",6,2.50
"071667047",7,2.50
"071667047",5,2.50
"055239204",12,1.59
"066605117",9,2.50
"071650222",15,2.50
"071650222",9,2.50
"071650222",6,2.50
"066605532",15,2.50
"071667047",15,2.50
"071667047",9,2.50
"071616114",15,2.50
"071648623",15,2.50
"066605060",15,2.50
"071648519",15,2.50
"071650297",15,2.50
"071650297",9,2.50
"066605492",15,2.50
"066604913",15,2.50
"071616108",15,2.50
"066605411",15,2.50
"066604926",15,2.50
"071105333",15,2.50
"066604631",15,2.50
"067563129",15,2.50
"071650078",15,2.50
"066605117",15,2.50
"066605463",15,2.50
"071616120",6,2.50
"071616120",15,2.50
"071616120",9,2.50
"071616120",7,2.50
"071616120",5,2.50
"067563129",7,2.63
"071650239",5,2.50
"071650078",6,2.50
"071650078",9,2.50
"071650078",7,2.50
"071650078",5,2.50
"066605117",6,2.50
"066605117",5,2.50
"066605117",7,2.50
"066605463",9,2.50
"066605463",7,2.63
"066605463",5,2.50
"066605516",5,2.50
"066605411",6,2.50
"071616108",6,2.50
"071648519",5,2.50
"071650297",5,2.50
"066604913",5,2.50
"066605532",9,2.50
"067563129",9,2.50
"066604926",9,2.50
"071650222",7,2.50
"071648531",15,2.50
"071648531",9,2.50
"066605060",9,2.50
"066604942",9,2.50
"071648519",6,2.50
"071616108",9,2.50
"066605411",9,2.50
"071648531",6,2.50
"071648531",7,2.50
"071648531",5,2.50
"071616114",6,2.50
"071616114",9,2.50
"071616114",7,2.50
"071616114",5,2.50
"071648623",6,2.50
"071648623",9,2.50
"071648623",7,2.50
"071648623",5,2.50
"066605060",6,2.50
"066605060",7,2.50
"066605060",5,2.50
"071648519",9,2.50
"071648519",7,2.50
"071650297",6,2.50
"071650297",7,2.50
"066604913",6,2.50
"066604913",9,2.50
"066604913",7,2.50
"071616108",7,2.50
"071616108",5,2.50
"066605411",7,2.50
"066605411",5,2.50
"066604926",5,2.50
"071105333",6,2.50
"071105333",9,2.50
"071105333",7,2.50
"071105333",5,2.50
"066604631",6,2.50
"066604631",5,2.50
"071650251",5,2.50
"066605267",7,2.63
"066605267",5,2.50
"071648531",8,2.50
"071648623",8,2.50
"071616114",8,2.50
"066605060",8,2.50
"066604913",8,2.50
"071616108",8,2.50
"066605411",8,2.50
"066605267",8,2.50
"071650078",8,2.50
"071616039",8,2.50
"066605117",8,2.50
"071650222",8,2.50
"071667047",8,2.50
"071648519",8,2.50
"071650297",8,2.50
"071105333",8,2.50
"071650251",8,2.50
"071616120",8,2.50
"061763196",5,1.50
"061763196",9,1.50
"061763196",6,1.50
"061763196",7,1.58
"055239204",13,1.72
"072242813",5,69.50
"072242813",9,69.50
"072242813",6,69.50
"072242813",7,69.50
"072080514",5,1.25
"066742109",5,2.50
"050244729",7,2.50
"050244729",9,2.50
"050244729",5,2.50
"050244729",6,2.50
"066742109",15,2.63
"066742109",8,2.63
"066742109",9,2.50
"066742109",6,2.50
"066742109",7,2.50
"050244729",15,2.50
"067088283",9,1.00
"067088283",6,1.00
"067042314",15,1.00
"067042314",5,1.00
"067042314",9,1.00
"067042314",7,1.00
"067088283",5,1.00
"067042314",8,1.00
"067088283",7,1.00
"067042314",6,1.00
"054052754",8,1.25
"052974714-001",5,1.50
"052974714-001",6,1.50
"052974714",5,1.50
"052974714",6,1.50
"052974714",8,1.50
"052974714",9,1.50
"052974714-001",8,1.58
"052974714",15,1.50
"052974714",7,1.50
"052974714-001",15,1.58
"052974714-001",9,1.50
"052974714-001",7,1.50
"054052754",15,1.25
"067088283",8,1.00
"067088283",15,1.00
"050678360",15,1.75
"050678360",9,1.75
"050678360",8,1.75
"050678360",7,1.75
"050678360",5,1.75
"050678360",6,1.75
"054052754",5,1.25
"054052754",9,1.25
"054052754",6,1.25
"054052754",7,1.25
"072080514",7,1.25
"072080514",15,1.25
"072080514",9,1.25
"072080514",6,1.25
"051269042-001",15,1.00
"051269042-001",9,1.00
"051269042-001",8,1.00
"051269042-001",6,1.00
"051269042-001",7,1.00
"051269042",15,1.00
"051269042-001",5,1.00
"051269042",9,1.00
"051269042",8,1.00
"051269042",6,1.00
"051269042",5,1.00
"051269042",7,1.00
"050244729",8,2.50
"054767755",8,1.75
"054767755",15,1.75
"054767755",9,1.75
"054767755",7,1.75
"054767755",5,1.75
"054767755",6,1.75
"072080514",8,1.25
"062676234",9,3.00
"062676234",8,3.00
"062676234",7,3.00
"062676234",6,3.00
"062676234",5,3.00
"062676234",15,3.00
"050211728",5,0.90
"050211728",7,0.90
"050211728",6,0.90
"057477477",6,0.70
"057477477",15,0.70
"057477477",9,0.70
"057477477",8,0.70
"050211728",15,0.90
"068097725",9,2.00
"068097725",6,2.00
"073634423",6,2.00
"073634423",7,2.00
"053988875-001",5,2.00
"053988875-001",9,2.00
"053988875",6,2.00
"053988875-001",6,2.00
"072081317",15,1.84
"072081317",9,1.75
"065102646",7,2.00
"071376909",9,2.00
"071376909",8,2.00
"071376909",6,2.00
"065102646",15,2.00
"065102646",6,2.00
"053680668-001",7,1.00
"053680668-002",15,1.00
"071585506",5,0.75
"071585506",9,0.75
"071585506",6,0.75
"071585506",7,0.75
"071376909",5,2.00
"074132111",7,1.00
"053680668-002",9,1.00
"057477477",7,0.70
"057477477",5,0.70
"050211728",8,0.90
"050211728",9,0.90
"053988875-001",15,2.00
"053988875-001",7,2.00
"072081317",7,1.75
"072081317",6,1.75
"072081317",5,1.75
"053988875",9,2.00
"053988875",15,2.00
"053988875",7,2.00
"068097725",15,2.00
"068097725",7,2.00
"073634423",15,2.10
"073634423",9,2.00
"068097725",8,2.00
"072081317",8,1.84
"068097725",5,2.00
"073634423",5,2.00
"053988875",8,2.00
"053988875",5,2.00
"053988875-001",8,2.00
"073634423",8,2.10
"050619609",13,3.26
"050619609",12,3.10
"074132111",6,1.00
"074132111",5,1.00
"074132111",9,1.00
"065102339",15,1.00
"065102339",9,1.00
"065102339",8,1.00
"065102339",5,1.00
"060258842",12,3.99
"060258842",13,4.19
"053680668-002",5,1.00
"053680668-003",5,1.00
"053680668-001",6,1.00
"053680668-003",9,1.00
"053680668",5,1.00
"053680668-003",8,1.00
"053680668-003",15,1.00
"053680668-001",8,1.00
"053680668-002",6,1.00
"053680668-003",7,1.00
"053680668-002",7,1.00
"053680668-003",6,1.00
"053680668-001",5,1.00
"053680668",15,1.00
"053680668-001",15,1.00
"053680668-001",9,1.00
"053680668",8,1.00
"053680668",7,1.00
"053680668",9,1.00
"053680668",6,1.00
"053680668-002",8,1.00
"063530906",13,3.14
"063530906",12,2.99
"058357860",13,3.14
"060487956",13,2.82
"060487680",13,3.20
"060487680",12,3.05
"060483943",13,3.14
"060483943",12,2.99
"054552531",13,3.14
"065940124",13,2.93
"065940124",12,2.79
"053608178",13,3.10
"054552531",12,2.99
"054422933",12,2.89
"054422933",13,3.03
"060487956",12,2.69
"051676625",13,3.10
"051676625",12,2.95
"053608178",12,2.95
"051622776",8,0.80
"051262441",8,0.80
"051658215",8,0.80
"051743114",8,0.80
"050502436-001",9,0.65
"050502436-001",15,0.68
"050502436-002",8,0.68
"050502436-002",9,0.65
"050502436-002",15,0.68
"050502436-003",9,0.65
"050502436-003",15,0.68
"050502436-003",8,0.68
"050502436-001",8,0.68
"050502436-001",7,0.65
"050502436-002",7,0.65
"050502436-003",7,0.65
"050502436",8,0.65
"051658221",8,0.80
"064161287-001",13,3.31
"056157719-001",13,3.14
"056157719",13,3.14
"056157719-001",12,2.99
"056157719",12,2.99
"063529293",13,3.62
"064161287",12,3.15
"063529293",12,3.45
"063529293-001",13,3.62
"063530906-001",13,3.14
"053609087-001",13,3.14
"053609087",13,3.14
"073740049",13,3.87
"073740049",12,3.69
"064161287",13,3.31
"063529293-001",12,3.45
"063530906-001",12,2.99
"053609087-001",12,2.99
"053609087",12,2.99
"064161287-001",12,3.15
"058357860",12,2.99
"073740090",13,3.87
"073740090",12,3.69
"051658215",13,0.79
"051658215",12,0.79
"051262441",15,0.80
"051262441",9,0.80
"051622776",15,0.80
"051658215",15,0.80
"051658221",15,0.80
"051743114",15,0.80
"050502436",7,0.65
"051262441",7,0.80
"051622776",7,0.80
"051658215",7,0.80
"051658221",7,0.80
"051743114",7,0.80
"073006994",12,4.49
"073007244",12,4.49
"073007164",13,4.49
"073007164",12,4.49
"073006994",13,4.49
"073007244",13,4.49
"067780315",15,2.00
"074069670",9,4.00
"074069670",7,4.00
"074069670",5,4.00
"074069670",6,4.00
"050502436-004",8,0.68
"050502436-004",15,0.68
"050502436-004",9,0.65
"050502436-004",7,0.65
"051658215",6,0.80
"050502436",5,0.65
"050502436",6,0.65
"051658221",5,0.80
"051658221",6,0.80
"051622776",6,0.80
"051743114",5,0.80
"051743114",6,0.80
"051262441",5,0.80
"051262441",6,0.80
"051622776",5,0.80
"051658215",5,0.80
"050502436",9,0.65
"051622776",9,0.80
"051658215",9,0.80
"051743114",9,0.80
"051658221",9,0.80
"050502436",15,0.65
"050502436-004",5,0.65
"050502436-004",6,0.65
"050502436-001",5,0.65
"050502436-001",6,0.65
"050502436-002",5,0.65
"050502436-002",6,0.65
"050502436-003",5,0.65
"050502436-003",6,0.65
"073633418",6,1.00
"073634688",7,1.00
"053733328",7,1.00
"073633418",9,1.00
"053733328",9,1.00
"073634688",9,1.00
"073633418",7,1.00
"053733328",6,1.00
"073634688",6,1.00
"073634688",5,1.00
"053733328-001",5,1.00
"053733328-001",6,1.00
"073633418",5,1.00
"053733328",5,1.00
"053733328-001",7,1.00
"053733328-001",9,1.00
"050952611",12,0.79
"050952611",13,0.83
"050952611-001",12,0.79
"050952611-001",13,0.83
"051743114",12,0.79
"051743114",13,0.79
"073668757",12,1.49
"073668757",13,1.56
"063363574",12,1.49
"063363574",13,1.49
"066602796",13,1.00
"066602796",12,1.00
"052167817",13,2.00
"052167817",12,2.00
"072502760",7,1.00
"065865478",9,1.00
"072502760",9,1.00
"065865478",7,1.00
"072502760",6,1.00
"065865478",6,1.00
"065865478",5,1.00
"072502760",5,1.00
"072568687",9,2.00
"072568687",5,2.00
"072568687",7,2.00
"072568687",6,2.00
"062608456",7,3.00
"062608456",5,3.00
"063969416",9,1.00
"063969416",7,1.00
"062608456",9,3.00
"071376909",7,2.00
"067780315",6,2.00
"065102646",5,2.00
"065102646",9,2.00
"067780315",8,2.00
"067780315",9,2.00
"067780315",5,2.00
"067780315",7,2.00
"065102646",8,2.00
"071376909",15,2.00
"072382214",7,2.08
"072382214",6,2.00
"072382214",5,2.00
"063530906",7,2.00
"053608178",7,1.79
"053608178",6,1.70
"051676625",6,1.70
"051676625",7,1.79
"060487680",6,1.70
"060487680",7,1.70
"072380954",7,2.08
"073740049",7,2.10
"064161287",7,2.00
"060487956",5,1.70
"056157719-001",7,2.10
"060483943",7,1.70
"060483943",5,1.70
"064161287-001",6,2.00
"064161287-001",5,2.00
"073723681",7,2.10
"054422933",6,1.70
"054422933",5,1.70
"063530906-001",5,2.00
"054552531",9,1.70
"054552531",7,1.79
"060487956",7,1.79
"056157719",7,2.10
"063529293-001",7,2.00
"054552531",6,1.70
"056157719",6,2.00
"060487956",6,1.70
"073740049",5,2.00
"065940124",7,1.70
"065940124",5,1.70
"065940124",6,1.70
"053609087-001",7,2.00
"063529293-001",6,2.00
"053609087",7,2.00
"053609087",6,2.00
"063530906",6,2.00
"072381481",7,2.08
"073740090",7,2.10
"073740090",5,2.00
"073740090",6,2.00
"053609087-001",5,2.00
"054552531",5,1.70
"064161287",5,2.00
"056157719-001",6,2.00
"073723681",6,2.00
"073723681",5,2.00
"058357860",7,2.00
"058357860",6,2.00
"053609087",5,2.00
"053608178",5,1.70
"051676625",5,1.70
"072380954",6,2.00
"072381481",6,2.00
"072381481",5,2.00
"063530906-001",6,2.00
"073740049",6,2.00
"056157719",5,2.00
"056157719-001",5,2.00
"064161287-001",7,2.00
"058357860",5,2.00
"063529293",5,2.00
"063530906",5,2.00
"060487680",5,1.70
"072380954",5,2.00
"073740090",9,2.00
"063529293-001",5,2.00
"063969416",5,1.00
"062608456",6,3.00
"063969416",6,1.00
"054355200-001",5,1.75
"054355200",6,1.75
"054355200",7,1.84
"054355200",5,1.75
"054355200-001",9,1.75
"054355200-001",6,1.75
"054355200-001",7,1.84
"054355200",9,1.75
"063530906-001",7,2.00
"053609087-001",6,2.00
"064161287",6,2.00
"060483943",6,1.70
"058357860",9,2.00
"054422933",7,1.70
"063529293",9,2.00
"063529293",6,2.00
"063529293",7,2.00
"072382214",9,2.00
"053609087",9,2.00
"063530906",9,2.00
"053608178",9,1.70
"051676625",9,1.70
"060487680",9,1.70
"072380954",9,2.00
"072381481",9,2.00
"063529293-001",9,2.00
"063530906-001",9,2.00
"053609087-001",9,2.00
"073740049",9,2.00
"065940124",9,1.70
"064161287",9,2.00
"060487956",9,1.70
"056157719",9,2.00
"056157719-001",9,2.00
"060483943",9,1.70
"064161287-001",9,2.00
"073723681",9,2.00
"054422933",9,1.70
"071047902",12,1.50
"063755456",13,1.50
"063755456",12,1.50
"063755446",13,1.50
"063755446",12,1.50
"063755433",13,1.50
"063755433",12,1.50
"071047902",13,1.50
"054355200",8,1.88
"054355200-001",15,1.88
"054355200-001",8,1.88
"054355200",15,1.88
"054310052",7,2.00
"054310052",5,2.00
"054310052",9,2.00
"054310052",6,2.00
"054844877",13,2.30
"054844877",12,2.19
"073518711",12,1.27
"073518711",13,1.34
"073570745",13,1.50
"073570745",12,1.50
"054310052",13,3.00
"054310052",12,3.00
"074130729",6,1.50
"074129277",5,1.50
"074129231",5,1.50
"074129277",6,1.50
"074129628",5,1.50
"074129231",9,1.50
"074129231",6,1.50
"074129628",6,1.50
"074130637",9,1.50
"074130637",6,1.50
"074130637",5,1.50
"074130729",9,1.50
"074129277",9,1.50
"074129628",9,1.50
"052352114-001",5,1.10
"074130729",5,1.50
"070742236",12,3.00
"070742236",13,3.00
"070742236-001",13,3.00
"070742236-001",12,3.00
"070752967",13,3.50
"070752967",12,3.50
"074438090",5,2.50
"074438090",6,2.50
"052352114-001",6,1.10
"052352114-001",7,1.10
"052352114",9,1.25
"052352114",7,1.31
"052352114",6,1.25
"052352114",5,1.25
"052352114-001",9,1.10
"050415142",13,2.00
"050415142",12,2.00
"055126096-001",13,3.00
"055126096-001",12,3.00
"055126096",13,3.00
"055126096",12,3.00
"074129415",5,2.00
"074129334",9,2.00
"074129559",9,2.00
"074129559",6,2.00
"074129559",5,2.00
"074129415",9,2.00
"074129571",9,2.50
"074129571",6,2.50
"074129571",5,2.50
"074438090",9,2.50
"074129334",5,2.00
"074129334",6,2.00
"074129415",6,2.00
"056664453",13,2.00
"056664453",12,2.00
"067708357",13,3.00
"067708357",12,3.00
"051528871",12,1.58
"051078043-002",13,1.66
"051783628",13,1.66
"051783628",12,1.58
"065328395-001",13,1.58
"059054842",13,1.77
"059054842",12,1.59
"060722454",13,1.67
"065328395-001",12,1.50
"051078043-001",13,1.66
"065328395",13,1.58
"050415159",13,1.66
"060722454",12,1.59
"051528871",13,1.66
"060721674",13,1.66
"051078043-003",13,1.66
"059054842-001",12,1.59
"060721674-001",12,1.58
"051078043-002",12,1.58
"060721674-001",13,1.66
"050415159-001",13,1.66
"051783628-001",13,1.66
"051078043-003",12,1.58
"050415171",12,1.65
"051061538-001",12,1.59
"051783628-001",12,1.58
"050415171",13,1.73
"051078043",13,1.66
"051078043",12,1.58
"060747148",13,1.66
"060747148",12,1.58
"065328395",12,1.50
"066372472",13,1.67
"066372472",12,1.59
"050415159",12,1.58
"051061538",13,1.67
"051061538",12,1.59
"060721674",12,1.58
"051061538-001",13,1.67
"050415159-001",12,1.58
"060721311",13,1.77
"060721311",12,1.69
"059054842-001",13,1.77
"050415171-001",13,1.73
"050415171-001",12,1.65
"051078043-001",12,1.58
"059651302",12,2.00
"072958393",13,1.57
"072958393",12,1.49
"066372339",13,2.00
"066372339",12,2.00
"071968359",13,2.00
"071968359",12,2.00
"059651302",13,2.00
"058051904",12,1.82
"058051904-001",13,1.91
"058051904-001",12,1.82
"058051904",13,1.91
"064097680",12,2.00
"071968394",13,2.00
"071968394",12,2.00
"058051904-001",7,1.00
"058051904",9,1.00
"058051904-001",6,1.00
"058051904-001",9,1.00
"058051904-001",5,1.00
"058051904",7,1.00
"058051904",5,1.00
"058051904",6,1.00
"064097680",13,2.00
"061925230",12,2.50
"052850544",12,3.00
"052850544-001",13,3.00
"052850544-001",12,3.00
"052850544-002",13,3.00
"071190092-001",13,1.50
"071190092-001",12,1.50
"071190092",13,1.50
"071190092",12,1.50
"061925230",13,2.50
"052850544-002",12,3.00
"052850544",13,3.00
"067912570",13,2.00
"067912570",12,2.00
"050350125-002",7,3.47
"050350125-002",5,3.30
"050350125-001",5,3.30
"050350125-002",6,3.30
"050350125",9,3.30
"050350125",6,3.30
"050350125",7,3.47
"050350125-001",6,3.30
"050350125-001",9,3.30
"050350125-002",9,3.30
"052165013-001",6,1.10
"052165013-001",5,1.10
"052165013",6,1.10
"050350125",5,3.30
"050350125-001",7,3.47
