"ITEM","PRICE_ZONE_ID","SELLING_RETAIL"
"074449376",1,2.00
"074449404",1,2.00
"074473473",1,2.00
"074401127",1,1.50
"074449445",1,2.00
"074687519",1,1.00
"074449203",1,1.20
"074449451",1,2.00
"070864414",1,1.20
"074449347",1,1.50
"074449572",1,2.50
"074481244",1,2.00
"074473467",1,2.00
"074449629",1,2.00
"074449249",1,1.75
"071084736",1,1.20
"074473513",1,2.00
"074449382",1,2.00
"073299341",1,1.50
"074473542",1,2.00
"074449290",1,1.75
"074449226",1,1.75
"070722773",1,1.20
"074687554",1,1.25
"070864679",1,1.50
"074449468",1,2.00
"074449399",1,2.00
"074449278",1,1.75
"074485770",1,1.50
"074473524",1,2.00
"074226070",1,1.50
"074449255",1,1.75
"074449595",1,2.00
"070864489",1,2.00
"070860378",1,1.00
"064374866",1,7.00
"070864408",1,2.00
"070864443",1,1.20
"074383268",1,10.00
"070722807",1,1.00
"070860401",1,1.00
"074635115",1,2.00
"074780368",1,1.50
"074383251",1,10.00
"054276224",1,0.95
"054174984",1,2.55
"054274382",1,0.95
"061563254",1,0.95
"059267711",1,2.50
"052744463",1,2.10
"054276253",1,2.49
"067997969",1,0.45
"051823043",1,5.00
"067997566",1,1.90
"073068563",10,23.99
"074449612",1,2.00
"074687479",1,1.25
"074473507",1,2.00
"074449284",1,1.75
"074473484",1,2.00
"074449232",1,1.75
"074449261",1,1.75
"074473450",1,2.00
"074449416",1,2.00
"066153772",14,46.80
"066153772",2,46.80
"066153772",4,46.80
"066153772",3,46.80
"059796128",14,0.49
"055205210",2,0.84
"050020516",14,0.49
"051333853",2,2.84
"054276224",4,0.95
"059267711",2,2.63
"051823043",4,5.00
"051384901",4,0.45
"054276218",4,0.95
"053854383",2,0.79
"059267711",14,2.69
"050240970",4,0.50
"067997566",2,2.00
"071262508",4,0.45
"067636113",4,0.45
"060978122",14,0.48
"050240987",2,0.79
"050550925",4,0.70
"067997969",2,0.47
"060978122",3,0.48
"054622063",4,1.50
"052744388",2,2.21
"066304122",2,3.15
"055205210",4,0.80
"067998058",2,0.47
"050240987",14,0.81
"067998058",14,0.48
"051333853",4,2.70
"061563254",4,0.95
"054174984",14,2.74
"054274382",4,0.95
"067635863",2,0.47
"051823043",14,5.38
"059776771",2,0.47
"053854383",14,0.81
"059776771",4,0.45
"067635863",4,0.45
"050020931",14,0.43
"062469860",4,0.45
"054276218",14,1.02
"052744388",14,2.26
"054622063",14,1.61
"067636113",2,0.47
"054174984",2,2.68
"054274382",2,1.00
"055482963",4,1.92
"051439953",4,2.76
"051439953",3,3.01
"051747657",4,2.55
"051747657",2,2.68
"055482963",2,2.02
"051439953",14,3.01
"051439953",2,2.90
"056266538",3,36.42
"056266538",2,36.42
"056266538",14,36.42
"056266538",4,35.19
"054485351",1,35.19
"074186450",2,379.00
"074186450",3,379.00
"074186450",4,379.00
"074186450",14,379.00
"071340094",14,1.04
"074438838",1,2.85
"065985923",1,2.85
"074438838",3,2.99
"065985923",4,2.85
"074438838",2,2.99
"074438838",14,2.99
"065985923",2,2.99
"074438838",4,2.85
"065985923",14,2.99
"074705275",11,17.99
"074705056",11,17.99
"072107957",11,18.89
"072107963",11,18.89
"074705298",11,17.99
"074705131",11,24.99
"072874278",11,39.99
"071524597",11,99.99
"074705315",11,17.99
"074623014",10,39.99
"074216669",1,20.00
"074216577",1,16.00
"051283364",2,1.05
"053342833",2,2.10
"067427107",4,0.50
"051823642",2,2.09
"057164496",4,0.89
"057164496",2,0.93
"051762097",2,1.77
"050410844",14,1.60
"050039149",14,1.82
"051295298",14,3.11
"050039149",2,1.77
"073312983",14,1.39
"062564656",11,0.19
"073134652",11,10.00
"073134652",10,10.00
"073666569",10,16.99
"072776193",11,12.99
"071340094",3,1.04
"071340094",1,0.99
"073193004",4,1.79
"054384418",14,1.92
"061614016",14,1.92
"071393704",2,2.08
"071167074",2,2.09
"071167155",4,1.99
"067483448",4,1.79
"073192927",14,1.92
"054795617",2,2.89
"073984664",2,1.56
"065695961",2,1.88
"054795617",4,2.75
"061117036",3,0.73
"051981027",2,0.71
"071643191",3,1.08
"065696316",14,1.92
"050017417",2,0.79
"051979083",4,0.68
"050351781",14,1.08
"070836500",3,1.45
"073135115",2,1.88
"054795617",14,2.96
"073192927",4,1.79
"051979083",14,0.73
"071643191",4,1.00
"071957919",4,1.79
"062862768",4,2.10
"067612199",4,1.35
"067612199",2,1.42
"067483448",14,1.88
"073193004",14,1.92
"071393802",14,2.10
"065696316",4,1.79
"071393802",2,2.05
"054384418",2,1.88
"071167282",2,2.09
"050480869",2,2.10
"073192927",2,1.88
"054613903",14,1.92
"070836500",2,1.42
"065696316",2,1.88
"070855137",14,2.57
"067483419",4,1.19
"070855137",2,2.51
"071957919",2,1.88
"050017417",4,0.75
"072732130",10,19.99
"065714364",4,4.00
"065961491",4,4.00
"073551820",4,4.00
"065716166",2,4.00
"065716166",3,4.00
"074054981",2,4.00
"074054981",14,4.00
"065961491",2,4.00
"065716166",14,4.00
"065714364",2,4.00
"065715363",4,4.00
"074054981",3,4.00
"073551820",2,4.00
"065715363",3,4.00
"065961491",3,4.00
"065715363",14,4.00
"065715363",2,4.00
"065716166",4,4.00
"074054981",4,4.00
"073551820",14,4.00
"065714364",14,4.00
"065714364",3,4.00
"073551820",3,4.00
"065961491",14,4.00
"070106656",3,83.97
"070106656",2,79.97
"070106656",14,83.97
"070106656",4,79.97
"071524608",4,89.97
"071524608",3,89.97
"071524608",2,89.97
"071524608",14,89.97
"053483084",1,1.89
"054567243",1,2.99
"053483061",1,1.09
"053483061",3,1.14
"054567243",2,3.14
"053483084",2,1.98
"053483061",4,1.09
"054567243",3,3.14
"054567243",4,2.99
"053483061",2,1.14
"053483061",14,1.14
"053483084",4,1.89
"053483084",14,1.98
"054567243",14,3.14
"053483084",3,1.98
"065971686",1,0.70
"050392518-001",1,1.36
"050392518",1,1.36
"050745557",1,1.36
"050745557-001",1,1.36
"065737550",1,1.10
"070860695",1,3.59
"070106656",1,79.97
"073916902",4,3.00
"073918445",14,3.00
"073918445",2,3.00
"073916948",4,3.00
"073916902",3,3.00
"073916948",2,3.00
"073916948",14,3.00
"073918445",4,3.00
"073916948",3,3.00
"073916902",14,3.00
"073916902",2,3.00
"073918445",3,3.00
"073551820",1,4.00
"065715363",1,4.00
"065961491",1,4.00
"065716166",1,4.00
"074054981",1,4.00
"065714364",1,4.00
"065716379",1,1.00
"072874278",4,45.00
"072874261",3,45.00
"072874278",2,45.00
"072874278",14,45.00
"072874278",3,45.00
"072874261",14,45.00
"072874261",2,45.00
"072874261",4,45.00
"073814182",1,2.00
"073916856",1,2.00
"070591419",1,2.00
"066486942",1,2.00
"065716379",2,1.00
"065716379",14,1.00
"065716379",4,1.00
"065716379",3,1.00
"050745557",4,1.36
"050392518-001",2,1.36
"050745557-001",2,1.36
"070860695",4,3.59
"065971686",2,0.70
"050392518",3,1.36
"073398696",1,20.00
"050392518-001",4,1.36
"070860695",2,3.59
"065737550",4,1.10
"065971686",4,0.70
"050745557-001",14,1.36
"070860695",14,3.59
"065737550",14,1.10
"065737550",3,1.10
"050745557",14,1.36
"050745557-001",4,1.36
"050745557",2,1.36
"050392518",2,1.36
"050745557",3,1.36
"065971686",14,0.70
"065971686",3,0.70
"050392518",14,1.36
"050392518",4,1.36
"050745557-001",3,1.36
"070860695",3,3.59
"065737550",2,1.10
"050392518-001",14,1.36
"050392518-001",3,1.36
"055922674",1,32.35
"061035776",2,3.24
"061035776",3,3.24
"061035776",4,3.09
"061035776",14,3.24
"060914849",3,5.00
"060914849",4,5.00
"063284828",4,5.00
"063284828",3,5.00
"063284828",2,5.00
"060914849",14,5.00
"063284828",14,5.00
"060914849",2,5.00
"074216669",14,20.00
"074216669",3,20.00
"074216669",2,20.00
"074216669",4,20.00
"073505179",14,7.00
"060914849",1,5.00
"063284828",1,5.00
"073505179",1,7.00
"073855392",14,1.00
"073855392",3,1.00
"073696907",2,329.00
"073696907",4,329.00
"073696907",14,329.00
"073696907",3,329.00
"061245775",3,7.42
"073696913",14,469.00
"073696913",3,469.00
"073696913",4,469.00
"073696913",2,469.00
"064404807",1,10.00
"066153772",1,46.80
"070363834",3,5.00
"070363834",14,5.00
"070363834",2,5.00
"070363834",4,5.00
"073571675",3,7.00
"073571675",14,7.00
"073571675",2,7.00
"073571675",4,7.00
"070363834",1,5.00
"073504981",1,7.00
"073504981",3,7.00
"073504981",4,7.00
"073504981",14,7.00
"073504981",2,7.00
"073571675",1,7.00
"072550517",1,12.00
"072550517",4,12.00
"072550517",3,12.00
"072550517",2,12.00
"072550517",14,12.00
"073505179",2,7.00
"073505179",4,7.00
"073505179",3,7.00
"074024867",11,4.08
"073696907",1,329.00
"074024660",11,4.08
"074024746",11,4.08
"061245775-001",2,6.46
"072695046",2,6.72
"051643941",3,7.64
"061244845-001",3,3.78
"072695046",3,6.49
"061245775-001",4,6.24
"072706248",1,6.49
"061245775-001",1,6.24
"051643941",1,7.38
"061244845-001",1,3.65
"072695046",1,6.49
"073107466",3,4.13
"073107466",14,4.13
"073107466",2,4.13
"073107466",4,3.99
"051643941",4,7.38
"072706248",4,6.49
"072706248",3,6.49
"072695046",4,6.49
"061244845-001",4,3.65
"061244845-001",14,3.78
"051643941",2,7.64
"051643941",14,7.64
"072706248",14,6.49
"072695046",14,6.49
"072706248",2,6.72
"061245775-001",14,6.46
"061244845-001",2,3.78
"073107466",1,3.99
"070820392",10,1.49
"071232579-001",11,0.38
"071232579",11,0.38
"060791970",10,0.62
"067709074",11,1.05
"070473047",11,3.40
"070473047",10,3.24
"071232579-001",10,0.38
"071232579",10,0.38
"066236277",10,1.04
"066236277",11,1.09
"070820392",11,1.56
"067709039",11,1.05
"060791970",11,0.65
"067709074",10,1.00
"067709039",10,1.00
"066220497",1,13.57
"067841175-001",1,3.50
"067841175",1,3.92
"067841175",14,4.06
"067841175-001",4,3.50
"066220497",14,14.04
"067841175",4,3.92
"066220497",4,13.57
"071376218",4,13.57
"071376218-001",3,14.04
"071376218-001",14,14.04
"071376218",2,14.04
"071376218-001",4,13.57
"071376218",3,14.04
"071376218-001",2,14.04
"071376218",14,14.04
"067841175",2,4.06
"067841175-001",2,3.62
"066220497",3,14.04
"066220497",2,14.04
"067841175-001",3,3.62
"067841175",3,4.06
"067841175-001",14,3.62
"061244845",1,3.50
"071339056",1,13.57
"067844045",1,6.85
"067843645",1,3.50
"061245775",1,7.17
"071104000",1,12.00
"071104000",2,12.60
"071104000",4,12.00
"071104000",14,12.60
"071104000",3,12.60
"071376218-001",1,13.57
"071376218",1,13.57
"061245775",4,7.17
"067844045",3,7.09
"071339056",3,14.04
"067843645",14,3.62
"067844045",4,6.85
"067843645",3,3.62
"071339056",14,14.04
"067844045",2,7.09
"071339056",2,14.04
"067843645",4,3.50
"061244845",4,3.50
"061245775",14,7.42
"067844045",14,7.09
"071339056",4,13.57
"061244845",3,3.62
"061245775",2,7.42
"061244845",2,3.62
"061244845",14,3.62
"067843645",2,3.62
"071631971",3,6.19
"071631971",2,6.19
"072333222",4,3.52
"071666854",2,6.19
"072333389",14,3.64
"071666854",4,5.98
"072333389",4,3.52
"072333389",3,3.64
"071666854",3,6.19
"071631971",14,6.19
"071666854",14,6.19
"074070310",2,6.19
"072333389",2,3.64
"072333222",3,3.64
"072333222",14,3.64
"074070310",4,5.98
"074070310",14,6.19
"074070310",3,6.19
"072333222",2,3.64
"071631971",4,5.98
"073552836",14,79.00
"073552836",4,79.00
"073552836",3,79.00
"073552836",2,79.00
"073552836",1,79.00
"063413838",1,0.32
"063413838",3,0.32
"063413838",14,0.32
"063413838",4,0.32
"063413838",2,0.32
"072732130",11,19.99
"053787289-001",1,0.80
"053787329",1,0.80
"053787289-001",4,0.80
"053787329",14,0.80
"053787289-001",3,0.80
"053787329",4,0.80
"053787289-001",14,0.80
"053787289-001",2,0.80
"053787329",2,0.80
"053787329",3,0.80
"074705154",10,12.99
"070012260",10,12.99
"064569548",10,14.99
"063835477",11,59.99
"074623072",11,59.99
"071524597",10,99.99
"050240987",1,0.75
"054622063",1,1.50
"060978122",1,0.45
"067998058",1,0.45
"051384901",1,0.45
"053854383",1,0.75
"054276218",1,0.95
"050020516",1,0.46
"067636113",1,0.45
"051333853",1,2.70
"054276276",1,2.49
"050550925",1,0.70
"055205210",1,0.80
"062469860",1,0.45
"067635863",1,0.45
"066304122",1,3.00
"050553093",1,0.56
"052744388",1,2.10
"070521158",1,1.69
"071262508",1,0.45
"054171858",1,0.70
"052814156",1,1.99
"050240970",1,0.50
"073193108",1,0.70
"059796128",1,0.46
"059776771",1,0.45
"071393704",3,2.13
"071167247",3,2.14
"073193004",3,1.92
"071967090",3,1.92
"071393802",3,2.10
"071957919",3,1.92
"062862768",3,2.26
"053407222",3,1.82
"073325616",1,1.79
"067427107",1,0.50
"051023045",1,3.29
"067427378",1,0.50
"073312983",1,1.29
"051762097",1,1.69
"050478280",1,1.59
"073313515",1,1.29
"051978769",1,1.20
"057164496",1,0.89
"053342833",1,2.00
"050478280-001",1,1.59
"060398176",1,1.69
"067427326",1,0.50
"050410844",1,1.49
"050039149",1,1.69
"051295298",1,2.89
"050478055",1,1.59
"051283364",1,1.00
"073312833",1,1.29
"051762097-001",1,1.69
"070641407",1,2.49
"051710574",1,3.00
"051823642",1,1.99
"060396424",1,1.79
"051283364-001",1,1.00
"050478055-001",1,1.59
"062564656",10,0.19
"054384142",3,1.92
"051979083",3,0.73
"065696205",3,1.92
"061614016",3,1.92
"071167282",3,2.14
"050480869",3,2.15
"073192927",3,1.92
"070855137",3,2.57
"071167074",3,2.14
"073984664",3,1.60
"054613903",3,1.92
"067483448",3,1.88
"065696316",3,1.92
"053844907",3,0.59
"065695961",3,1.92
"073135115",3,1.92
"071167155",3,2.14
"070822194",3,2.96
"054384418",3,1.92
"054795617",3,2.96
"054276253",14,2.68
"050553093",14,0.60
"051333853",14,2.90
"067997566",4,1.90
"053854383",4,0.75
"050553093",2,0.59
"059267711",4,2.50
"067998058",3,0.48
"067636113",14,0.48
"052744388",4,2.10
"060978122",4,0.45
"050020516",2,0.48
"054276276",14,2.68
"067997969",14,0.48
"050020516",3,0.49
"059776771",3,0.48
"067998058",4,0.45
"062469860",14,0.48
"073324617",11,19.99
"072874261",11,39.99
"071262508",2,0.47
"050240970",14,0.54
"050240987",4,0.75
"055205210",14,0.86
"073107454",1,4.25
"050808979",1,0.90
"073107454",4,4.25
"073107454",14,4.40
"073107454",3,4.40
"073107454",2,4.40
"050808979",3,0.90
"050808979",14,0.90
"050808979",2,0.90
"050808979",4,0.90
"052884095",14,3.24
"052884095",3,3.24
"052884095",2,3.24
"052884095",4,3.09
"061035776",1,3.09
"072730339",1,2.89
"073334012",1,368.00
"070016561",1,30.00
"055482963",1,1.92
"051747657",1,2.55
"051439953",1,2.76
"074216531",3,12.00
"074216531",14,12.00
"074216531",2,12.00
"074216531",4,12.00
"073334012",3,368.00
"073334012",2,368.00
"073334012",14,368.00
"073334012",4,368.00
"074216531",1,12.00
"052260983",4,1.00
"052260983",2,1.05
"055886203",14,1.00
"055886203",3,1.00
"052260983",14,1.05
"052260983",3,1.05
"055886203",2,1.00
"055886203",4,1.00
"055886203",1,1.00
"052260983",1,1.00
"063885739-001",1,4.40
"063885739",1,4.40
"063885434",4,2.60
"063885434",3,2.83
"063885434",14,2.83
"063885434",2,2.73
"070397022",1,3.00
"070396754",1,4.75
"070396754-001",1,4.75
"070396754",14,5.18
"070396754-001",14,5.18
"070396754",4,4.75
"070396754-001",2,4.99
"070396754",2,4.99
"070396754-001",4,4.75
"070396754-001",3,5.18
"070396754",3,5.18
"063885434",1,2.60
"070397022",14,3.27
"070397022",3,3.27
"070397022",4,3.00
"070397022",2,3.15
"063885739-001",3,4.80
"063885739",4,4.40
"063885739",2,4.62
"063885739-001",2,4.62
"063885739-001",4,4.40
"063885739-001",14,4.80
"063885739",3,4.80
"063885739",14,4.80
"066717872",2,10.00
"066717872",14,10.00
"066717872",3,10.00
"066717872",4,10.00
"074566524",4,30.00
"074566524",3,31.50
"074566524",2,30.00
"074566524",14,31.50
"050442005",11,0.84
"072372866",14,1.05
"073372853",14,1.05
"072631635",4,5.50
"072631635",14,5.78
"072372906",14,1.84
"072631635",2,5.50
"072372866",4,1.00
"072372906",2,1.75
"073372853",4,1.00
"073372853",3,1.05
"072372866",2,1.00
"072372906",3,1.84
"073372853",2,1.00
"072631635",3,5.78
"072372866",3,1.05
"072372906",4,1.75
"074566524",1,30.00
"050442005",10,0.84
"072631635",1,5.50
"073372853",1,1.00
"072372906",1,1.75
"072372866",1,1.00
"074174694",2,50.00
"074174694",4,50.00
"074174694",14,50.00
"074174694",3,50.00
"074174694",1,50.00
"065590537",1,15.00
"064049571",1,2.49
"067714620",1,2.49
"064049571",3,2.61
"064049571",4,2.49
"067714620",2,2.61
"067714620",4,2.49
"064049571",14,2.61
"067714620",3,2.61
"067714620",14,2.61
"064049571",2,2.61
"073692226",3,49.00
"073692232",4,69.00
"073692226",2,49.00
"073692226",14,49.00
"073692226",4,49.00
"073692203",14,29.00
"073692232",2,69.00
"073692232",14,69.00
"073692203",4,29.00
"073692232",3,69.00
"073692203",2,29.00
"073692203",3,29.00
"074143196",4,399.00
"074143196",14,399.00
"074143196",2,399.00
"074143196",3,399.00
"074143184",1,549.00
